id,text,label
294,"Online trading mentorship. Mentor aspiring traders. Send $800 for mentorship certification materials. Share trading expertise!",scam
295,"VP of Product position. Product organization leadership. $180-250k salary. Stock options. Apply to vp-product@growth-company.com",legitimate
296,"Electronic funds transfer. Transfer funds electronically for clients. Pay $750 for EFT processing authorization. Digital banking!",scam
297,"Fellow Engineer at tech giant. Research and innovation focus. $200-280k salary. Apply to fellow@tech-research.com",legitimate
298,"Forex robot operation. Operate automated forex robots. Send $700 for robot operation license. Automated trading income!",scam
299,"Chief Product Officer role. Product vision and strategy. $220-300k salary plus equity. Apply to cpo@product-leader.com",legitimate
300,"Digital currency exchange. Operate digital currency exchange. Pay $1500 for exchange operating license. Crypto exchange empire!",scam
301,"Software Development Engineer I at Airtel Payments Bank. Must have Java & MySQL experience. Full-time, Gurugram. Apply via official careers portal",legitimate
302,"Welcome to Innovatecloud Solutions - HTML/CSS Developer Trainee Program. To confirm your participation, please pay ₹1,550 via the given link and contact us on WhatsApp for support",scam
303,"Software Engineer at HCL Tech. Required: Java, React. Position based in Hyderabad. Attractive salary and benefits. Apply from company site",legitimate
304,"Fake internship offer from InnovateMetrics. Pay ₹1,450 as an enrollment fee to verify documents and secure the position",scam
305,"Software Developer at IBM. Skills: HTML, CSS, JavaScript. Location: Kochi, Kerala. Full-time role via IBM's careers page",legitimate
306,"Remote job offer: Earn $300–$800 daily. Free training. Contact via WhatsApp +1XXX to get started.",scam
307,"Software Developer at BNP Paribas. Fullstack C#.NET required. Office in Mumbai. Legitimate job listing from corporate HR team",legitimate
308,"Job offer from real company name. Wire money for equipment before starting work",scam
309,"Remote Developer Job via Crossover. Global tech products company hiring full-time devs in India. Position requires strong remote-team collaboration skills",legitimate
310,"You will receive 2 checks of $3,400. Deposit them and use funds to buy equipment via CashApp",scam
311,"Dot Net Fullstack Software Engineer. 2-4 years experience. Hybrid role in Pune, India. Apply via Peerlist with salary band disclosed",legitimate
312,"Work from home: Optimize hotel bookings. Work 60–90 minutes/day. Earn $300–$800/day. Contact via WhatsApp",scam
